island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
,47.3,15.3,222.0,5250.0,
,35.7,16.9,185.0,3150.0,
,39.0,17.5,186.0,3550.0,
,46.4,17.8,191.0,3700.0,
,45.5,17.0,196.0,3500.0,
,45.2,14.8,212.0,5200.0,
,46.2,17.5,187.0,3650.0,
,50.6,19.4,193.0,3800.0,
,36.4,17.1,184.0,2850.0,
,34.5,18.1,187.0,2900.0,
,45.1,14.5,215.0,5000.0,
,48.7,15.7,208.0,5350.0,
,40.6,18.6,183.0,3550.0,
,55.9,17.0,228.0,5600.0,
,45.9,17.1,190.0,3575.0,
,54.3,15.7,231.0,5650.0,
,50.8,18.5,201.0,4450.0,
,52.5,15.6,221.0,5450.0,
,50.5,15.9,222.0,5550.0,
,49.4,15.8,216.0,4925.0,
,45.4,18.7,188.0,3525.0,
,35.6,17.5,191.0,3175.0,
,45.2,17.8,198.0,3950.0,
,39.7,18.9,184.0,3550.0,
,39.6,18.1,186.0,4450.0,
,46.1,13.2,211.0,4500.0,
,41.5,18.3,195.0,4300.0,
,49.9,16.1,213.0,5400.0,
,35.3,18.9,187.0,3800.0,
,50.9,19.1,196.0,3550.0,
,37.2,19.4,184.0,3900.0,
,39.7,17.7,193.0,3200.0,
,45.5,15.0,220.0,5000.0,
,38.1,17.0,181.0,3175.0,
